security_id,market,ticker,end_month,case_id,name
SEDOL:0664020,UK,OT1,2018-04,SEDOL:B05N8X2,Oxford Technology 2 VCT - OT1 shares
SEDOL:346340,UK,BASC,2018-06,SEDOL:B1XCHB9,Brown Advisory US Smaller Companies
SEDOL:783613,UK,SST,2018-06,SEDOL:B1YQ6R9,Scottish Oriental Smaller Companies
SEDOL:B1Z2SL4,UK,CRS,2018-06,SEDOL:B7TT4M6,Crystal Amber Fund
SEDOL:B6686L2,UK,BSRT,2018-06,SEDOL:BD884W6,Baker Steel Resources Trust
SEDOL:305233,UK,EDIN,2018-06,SEDOL:BDVK708,Edinburgh Investment Trust
SEDOL:781606,UK,FGT,2018-07,SEDOL:B73D8H7,Finsbury Growth & Income Trust
SEDOL:736639,UK,RCP,2018-07,SEDOL:BFYV7J1,RIT Capital Partners
SEDOL:0555522,UK,MAJE,2018-08,SEDOL:3636101,Majedie Investments
SEDOL:B1Z2SL4,UK,CRS,2018-08,SEDOL:596286,Crystal Amber Fund
SEDOL:BD3V464,UK,EGL,2018-08,SEDOL:B08S4K3,Ecofin Global Utilities and Infrastructure
SEDOL:3047468,UK,PPET,2018-08,SEDOL:B29KPN2,Patria Private Equity
SEDOL:3096169,UK,BRIG,2018-09,SEDOL:B0LCW20,BlackRock Income & Growth
SEDOL:535643,UK,NTV,2018-09,SEDOL:B1GCL25,Northern 2 VCT
SEDOL:173861,UK,CGT,2018-09,SEDOL:B4ZWPH0,Capital Gearing Trust
SEDOL:577485,UK,BRWM,2018-09,SEDOL:B6X5T17,BlackRock World Mining
SEDOL:422002,UK,PCT,2018-09,SEDOL:BDRNW62,Polar Capital Technology
SEDOL:257743,UK,CRWN,2018-10,SEDOL:981536,Albion Crown VCT
SEDOL:365602,UK,BGCG,2018-10,SEDOL:B0BN1P9,Baillie Gifford China Growth
SEDOL:346340,UK,BASC,2018-11,SEDOL:BDD98Q6,Brown Advisory US Smaller Companies
SEDOL:B02WHS0,UK,HHV,2018-11,SEDOL:BDZZT36,Hargreave Hale AIM VCT
SEDOL:BG49KP9,UK,BBOX,2018-11,SEDOL:BYW1DN2,Tritax Big Box REIT
SEDOL:341969,UK,JEDT,2018-12,SEDOL:BBBSB40,JPMorgan European Discovery
SEDOL:B2PP3J3,UK,CMPI,2018-12,SEDOL:BH4TCL6,CT Global Managed Portfolio Income
SEDOL:B1Z2SL4,UK,CRS,2019-01,SEDOL:BG0QZS2,Crystal Amber Fund
SEDOL:BVG1CF2,UK,INOV,2019-02,SEDOL:306P103,Schroders Capital Global Innovation Trust
SEDOL:B0N8MF9,UK,BERI,2019-02,SEDOL:B1DVQL9,BlackRock Energy and Resources Income
SEDOL:B1Z2SL4,UK,CRS,2019-03,SEDOL:BF00L12,Crystal Amber Fund
SEDOL:B1RMC54,UK,TFG,2019-05,SEDOL:B1YWTR8,Tetragon Financial Group
SEDOL:846505,UK,JAM,2019-05,SEDOL:BD20L05,JPMorgan American
NAME:baillie gifford japan|ordinary share,UK,BGFD,2019-06,SEDOL:3133691,Baillie Gifford Japan Trust
NAME:north american income|ordinary share,UK,NAIT,2019-08,SEDOL:569512,North American Income Trust
SEDOL:848471,UK,VIP,2019-08,SEDOL:BRK9BQ8,Value and Indexed Property Income Trust
SEDOL:B1DQ647,UK,IGET,2019-09,SEDOL:B89W2T5,Invesco Global Equity Income Trust
SEDOL:B4L0PD4,UK,FEML,2019-09,SEDOL:B96SW59,Fidelity Emerging Markets
SEDOL:B28V934,UK,OTV2,2019-09,SEDOL:BFG3QX2,Octopus Titan VCT
SEDOL:BRGCGK0,UK,RMMC,2019-11,SEDOL:B4TC8Z5,River UK Micro Cap
SEDOL:413880,UK,PVN,2019-11,SEDOL:BMPHJ80,ProVen VCT
SEDOL:BBHXCL3,UK,RSE,2020-01,SEDOL:BF8Q3P0,Riverstone Energy
SEDOL:B1G3LR3,UK,AAEV,2020-03,SEDOL:290481,Albion Enterprise VCT
SEDOL:345035,UK,JIGI,2020-03,SEDOL:BZ0RY03,JPMorgan India Growth & Income
SEDOL:3073827,UK,CTPE,2020-04,SEDOL:0827124,CT Private Equity Trust
SEDOL:781606,UK,FGT,2020-04,SEDOL:B4N1RV7,Finsbury Growth & Income Trust
SEDOL:B2PP252,UK,CMPG,2020-04,SEDOL:B588594,CT Global Managed Portfolio Growth
SEDOL:558167,UK,AATG,2020-06,SEDOL:B3P7S35,Albion Technology & General VCT
SEDOL:B18JK16,UK,JEGI,2020-07,SEDOL:0262134,JPMorgan European Growth & Income
SEDOL:B0P6J83,UK,AAIF,2020-07,SEDOL:B1W59J1,Aberdeen Asian Income Fund
SEDOL:BJFLFT4,UK,CREI,2020-08,SEDOL:0121600,Custodian Property Income REIT
SEDOL:882532,UK,TMPL,2020-08,SEDOL:B02WQ94,Temple Bar Investment Trust
SEDOL:BD9PXH4,UK,ASLI,2020-08,SEDOL:BYMYC34,abrdn European Logistics Income
SEDOL:BV54HY6,UK,SEQI,2020-09,SEDOL:3137100,Sequoia Economic Infrastructure Income
SEDOL:B06T260,UK,WINV,2020-09,SEDOL:B1YWWJ1,Worsley Investors
NAME:global smaller companies trust|ordinary share,UK,GSCT,2020-09,SEDOL:BTLJYS4,The Global Smaller Companies Trust
SEDOL:B02WHS0,UK,HHV,2020-10,SEDOL:3034868,Hargreave Hale AIM VCT
SEDOL:BZCNLL9,UK,CTHT,2020-10,SEDOL:679842,CT Healthcare Trust
SEDOL:0555522,UK,MAJE,2020-10,SEDOL:B602HS4,Majedie Investments
NAME:bankers|ordinary share,UK,BNKR,2020-10,SEDOL:B6116N8,Bankers Investment Trust
SEDOL:B28XHD6,UK,HVPE,2020-11,SEDOL:BFYT966,HarbourVest Global Private Equity
SEDOL:B9XQT11,UK,PCFT,2020-11,SEDOL:BYP98L6,Polar Capital Global Financials
SEDOL:3115202,UK,NTN,2020-12,SEDOL:B4QDLR4,Northern 3 VCT
SEDOL:338530,UK,WWH,2021-01,SEDOL:BW4NPD6,Worldwide Healthcare Trust
SEDOL:263193,UK,BVT,2021-02,SEDOL:703376,Baronsmead Venture Trust
SEDOL:3125610,UK,HYG,2021-02,SEDOL:B6ZS0J9,Seneca Growth Capital VCT
NAME:global smaller companies trust|ordinary share,UK,GSCT,2021-02,SEDOL:B6ZS1P2,The Global Smaller Companies Trust
SEDOL:BD9PXH4,UK,ASLI,2021-02,SEDOL:B8Y7CS4,abrdn European Logistics Income
SEDOL:B1NPGV1,UK,BHMU,2021-02,SEDOL:BG1TSQ9,BH Macro
SEDOL:B2PP3J3,UK,CMPI,2021-02,SEDOL:BH7Y7B3,CT Global Managed Portfolio Income
