ticker,month,label,unit,truth,n_matching_labels,matched,split,announcement_id,nearest_label,nearest_value,nearest_unit,nearest_ratio
MFF,2026-01,,,5.077,0,False,learn,03052994,advisesitsgroup weekly nta per shareas atfriday approximates,5.195,dollars,1.023242072089817
MEC,2026-01,,,1.3517,0,False,learn,03053422,per share estimated nta pre tax estimated nta post tax,1.36,dollars,1.0061404157727307
ALI,2026-01,,,2.62,0,False,learn,03051995,energy us gas distribution norfolk southern us railways,2.6,dollars,0.9923664122137404
MXT,2026-01,,,2.0136,0,False,learn,03051687,is as follows value date nta per unit,2.0088,dollars,0.9976162097735399
SEC,2026-01,,,2.582,0,False,holdout,03051431,spheria emerging companies limited level,2.64,cents,1.0224632068164214
SEC,2026-01,,,2.582,0,False,holdout,03051356,nta per share pre tax nta post tax nta,2.558,dollars,0.9907048799380326
MOT,2026-01,,,2.168,0,False,learn,03051323,is as follows value date nta per unit,2.1622,dollars,0.9973247232472323
PCI,2026-01,,,1.099,0,False,holdout,03051300,at close of business on nta per unit,1.102,dollars,1.0027297543221112
PIC,2026-01,,,1.301,0,False,learn,03051046,nta after tax,1.284,dollars,0.9869331283627979
GCI,2026-01,,,2.01,0,False,learn,03051004,on nta per unit as at,2.0154,dollars,1.0026865671641791
CIN,2026-01,,,44.89,0,False,learn,03050951,,,,
SEC,2026-01,,,2.582,0,False,holdout,03050660,spheria emerging companies limited level,2.64,cents,1.0224632068164214
GCI,2026-01,,,2.01,0,False,learn,03050203,on nta per unit as at,2.0146,dollars,1.0022885572139306
PIC,2026-01,,,1.301,0,False,learn,03050255,nta before tax,1.319,dollars,1.0138355111452728
MXT,2026-01,,,2.0136,0,False,learn,03050208,is as follows value date nta per unit,2.0065,dollars,0.9964739769566945
PL8,2026-01,,,1.171,0,False,learn,03050344,as at nta per share pre tax nta,1.163,dollars,0.9931682322801024
PIC,2026-01,,,1.301,0,False,learn,03049848,nta before tax,1.317,dollars,1.0122982321291314
FPC,2026-01,,,2.0882,0,False,learn,03049793,increased to at the end of and,2.0073,dollars,0.9612585001436643
CD2,2026-01,,,0.67,0,False,learn,03049745,fund ii notes aud usd spot rate of,0.6673,dollars,0.9959701492537313
TVL,2026-01,,,0.11,0,False,learn,03049910,had an asset backing of m equating to,0.11199999999999999,cents,1.018181818181818
PIC,2026-01,,,1.301,0,False,learn,03049677,nta before tax,1.296,dollars,0.9961568024596466
PIA,2026-01,,,1.3706,0,False,holdout,03049668,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7806799941631403
TEK,2026-01,,,0.25,0,False,holdout,03049434,tax asx code tek structure listed investment,0.257,cents,1.028
KKC,2026-01,,,2.3568,0,False,learn,03049358,at close of business nta per unit,2.3734,dollars,1.0070434487440598
GCI,2026-01,on nta per unit as at,dollars,2.01,1,True,learn,03049403,,,,
AIQ,2026-01,,,1.5265,0,False,learn,03049353,nta per unit adjusted nta per unit,1.42351,dollars,0.9325319358008517
DUI,2026-01,,,6.38,0,False,holdout,03049223,is as below weekly pre tax nta per share,6.35,dollars,0.9952978056426331
MIR,2026-01,,,3.18,0,False,learn,03048989,mir share price asx closing price on,3.14,dollars,0.9874213836477987
WAR,2026-01,,,1.3337,0,False,holdout,03048977,investment update asx war discounted asset opportunities,1.2968000000000002,cents,0.9723326085326536
WAX,2026-01,,,0.9747,0,False,learn,03048963,the nta aisf ter the payment of,1.0,dollars,1.0259567046270648
OPH,2026-01,,,3.4007,0,False,learn,03048872,is as follows value date nav per unit,3.4947,dollars,1.0276413679536565
SEC,2026-01,,,2.582,0,False,holdout,03048610,at estimated nta per share pre tax nta,2.633,dollars,1.019752130131681
GCI,2026-01,on nta per unit as at,dollars,2.01,1,True,learn,03048684,,,,
SEC,2026-01,,,2.582,0,False,holdout,03048388,at estimated nta per share pre tax nta,2.611,dollars,1.0112316034082107
GFL,2026-01,,,4.371,0,False,learn,03048308,hathaway ecp global growth fund uk managed portfolio,4.16,dollars,0.951727293525509
PIC,2026-01,nta before tax,dollars,1.301,2,True,learn,03047976,,,,
PIC,2026-01,was nta per ordinary share nta before tax,dollars,1.301,2,True,learn,03047976,,,,
REV,2026-01,is as follows value date nta per unit,dollars,2.0155,1,True,learn,03047908,,,,
OEQ,2026-01,,,0.4251,0,False,holdout,03047632,consolidated consolidated nta pre tax nta backing per share,0.42,dollars,0.9880028228652082
BEL,2026-01,,,0.0237,0,False,learn,03047626,nta components m m investment strike resources limited,0.0215,cents,0.9071729957805907
PIC,2026-01,,,1.301,0,False,learn,03047548,nta before tax,1.293,dollars,0.9938508839354343
MXT,2026-01,,,2.0136,0,False,learn,03047501,is as follows value date nta per unit,2.0027,dollars,0.9945868096940803
MFF,2026-01,,,5.077,0,False,learn,03047141,at authorised by kathy molla abbasi company secretary,5.0,dollars,0.9848335631278314
DN1,2026-01,per unit of the dominion income trust was,dollars,100.31,1,True,learn,03047120,,,,
AFI,2026-01,,,8.0,0,False,learn,03046970,pre tax nta per share,7.92,dollars,0.99
MXT,2025-12,,,2.0004,0,False,learn,03046153,is as follows value date nta per unit,2.0129,dollars,1.0062487502499502
OPH,2025-12,,,3.4364,0,False,learn,03046049,is as follows value date nav per unit,3.4776,dollars,1.0119892911186126
MIR,2025-12,,,3.27,0,False,learn,03045801,pre tax nta per share,3.28,dollars,1.003058103975535
RF1,2025-12,,,3.84,0,False,learn,03045793,nav per unit of regal investment fund was,3.81,dollars,0.9921875
MXT,2025-12,,,2.0004,0,False,learn,03045609,is as follows value date nta per unit,2.0106,dollars,1.0050989802039594
PIC,2025-12,,,1.296,0,False,learn,03044996,nta before tax,1.272,dollars,0.9814814814814815
MXT,2025-12,,,2.0004,0,False,learn,03044963,is as follows value date nta per unit,2.01,dollars,1.0047990401919615
MOT,2025-12,,,2.1553,0,False,learn,03044954,is as follows value date nta per unit,2.163,dollars,1.0035725885027607
