ticker,month,label,unit,truth,n_matching_labels,matched,nearest_label,nearest_value,nearest_unit,nearest_ratio,split,announcement_id
RYD,2025-08,,,1.9634,0,False,share price pre tax nta return nta pre tax hurdle,2.0,dollars,1.0186411327289395,holdout,02978865
DJW,2025-08,,,3.44,0,False,pre tax nta per share,3.43,dollars,0.9970930232558141,learn,02978884
MEC,2025-08,,,1.3227,0,False,noted below dollars per share estimated nta pre tax,1.2916,dollars,0.9764874877145234,learn,02978534
PIC,2025-08,,,1.352,0,False,nta before tax,1.311,dollars,0.9696745562130177,learn,02978613
OEQ,2025-08,per share nta post tax nta backing per share,dollars,0.4178,2,True,,,,,holdout,02978101
OEQ,2025-08,consolidated consolidated nta pre tax nta backing per share,dollars,0.4178,2,True,,,,,holdout,02978101
CD2,2025-08,ylno esu lanosrep rof cd quarterly nta movement,dollars,1.2,1,True,,,,,learn,02978052
CD3,2025-08,,,1.83,0,False,distributions as of x x x x,1.84,dollars,1.005464480874317,learn,02978046
NGE,2025-08,,,1.518,0,False,tax share price nta per share after tax,1.528,dollars,1.0065876152832676,holdout,02978314
PIA,2025-08,,,1.4004,0,False,pia pengana international equities limited pengana com pia acn,1.07,cents,0.7640674093116252,holdout,02977885
PIC,2025-08,,,1.352,0,False,nta before tax,1.294,dollars,0.9571005917159763,learn,02977137
RG8,2025-08,,,2.49,0,False,ordinary share for regal asian investments limited was,2.39,dollars,0.9598393574297188,learn,02976379
BKI,2025-08,,,2.02,0,False,per share as at below pre tax nta,1.99,dollars,0.9851485148514851,holdout,02976474
PCI,2025-07,at close of business on nta per unit,dollars,1.096,1,True,,,,,holdout,02975241
MXT,2025-07,,,2.0001,0,False,is as follows value date nta per unit,2.012,dollars,1.0059497025148743,learn,02974583
LSF,2025-07,,,3.3228,0,False,nta after tax,3.2537,dollars,0.9792042855423136,learn,02973603
MXT,2025-07,,,2.0001,0,False,is as follows value date nta per unit,2.0103,dollars,1.0050997450127492,learn,02973416
KKC,2025-07,,,2.4444,0,False,previous nta estimate,2.4589,dollars,1.0059319260350188,learn,02973126
RG8,2025-07,,,2.49,0,False,ordinary share for regal asian investments limited was,2.47,dollars,0.9919678714859438,learn,02973094
GCI,2025-07,,,2.0095,0,False,on nta per unit as at,2.017,dollars,1.0037322717093804,learn,02972780
PCI,2025-07,,,1.096,0,False,at close of business on nta per unit,1.101,dollars,1.0045620437956204,holdout,02972742
FPC,2025-07,,,1.5825,0,False,at rd amount pre tax nta pre tax nta,1.5571,dollars,0.9839494470774091,learn,02972611
LSF,2025-07,,,3.3228,0,False,were nta per ordinary share nta before tax,3.4088,dollars,1.0258817864451666,learn,02972543
SEC,2025-07,,,2.525,0,False,assets relating to capitalised issue related share price,2.43,dollars,0.9623762376237625,holdout,02971977
QRI,2025-07,,,1.6003,0,False,is as follows value date nta per unit,1.6068,dollars,1.0040617384240456,holdout,02971916
