period,horizon_months,feature,value,is_silent,n,resolved,rate,base_rate,lift,z_vs_rest,universe
development,18,buyback_commitment,authority_only,False,31,26,0.8387096774193549,0.9562043795620438,0.8771238611179513,-3.3945371837553666,documented
development,18,buyback_commitment,none,True,125,118,0.944,0.9562043795620438,0.9872366412213739,-0.9041951095950813,documented
development,18,buyback_commitment,specific_target,False,8,8,1.0,0.9562043795620438,1.045801526717557,0.6143550520205551,documented
development,18,continuation_vote,contingent_trigger,False,12,12,1.0,0.9562043795620438,1.045801526717557,0.7581501690342066,documented
development,18,continuation_vote,none,True,247,240,0.97165991902834,0.9562043795620438,1.016163426770096,3.7812495346460824,documented
development,18,continuation_vote,scheduled,False,15,10,0.6666666666666666,0.9562043795620438,0.6972010178117047,-5.636187890958436,documented
development,18,winddown_path,in_progress,False,26,26,1.0,0.9562043795620438,1.045801526717557,1.1470334745232704,documented
development,18,winddown_path,none,True,198,191,0.9646464646464646,0.9562043795620438,1.0088287454699667,1.102199220277808,documented
development,18,winddown_path,proposal_announced,False,38,33,0.868421052631579,0.9562043795620438,0.9081960626757734,-2.8492621484982945,documented
development,18,winddown_path,strategic_review,False,12,12,1.0,0.9562043795620438,1.045801526717557,0.7581501690342066,documented
development,18,activist_presence,named_holder,False,10,10,1.0,0.9562043795620438,1.045801526717557,0.6894666999400059,documented
development,18,activist_presence,none,True,254,242,0.952755905511811,0.9562043795620438,0.9963935805734206,-0.9940618305129383,documented
development,18,activist_presence,public_pressure,False,8,8,1.0,0.9562043795620438,1.045801526717557,0.6143550520205551,documented
development,18,activist_presence,requisition,False,2,2,1.0,0.9562043795620438,1.045801526717557,0.30377064588042063,documented
development,18,manager_status,change_announced,False,13,13,1.0,0.9562043795620438,1.045801526717557,0.7906179700650665,documented
development,18,manager_status,changed,False,15,15,1.0,0.9562043795620438,1.045801526717557,0.8525326221617804,documented
development,18,manager_status,stable,True,234,222,0.9487179487179487,0.9562043795620438,0.9921706791935798,-1.464661701881734,documented
development,18,manager_status,under_review,False,12,12,1.0,0.9562043795620438,1.045801526717557,0.7581501690342066,documented
development,18,fee_direction,cut,False,18,12,0.6666666666666666,0.9562043795620438,0.6972010178117047,-6.210205692180075,documented
development,18,fee_direction,increase,False,1,1,1.0,0.9562043795620438,1.045801526717557,0.21440451925669565,documented
development,18,fee_direction,none,True,255,249,0.9764705882352941,0.9562043795620438,1.0211944319712618,6.005516650261686,documented
development,18,nav_marking,board_marked,False,164,158,0.9634146341463414,0.9562043795620438,1.0075404952522806,0.7121324179492889,documented
development,18,nav_marking,independent_valuation,False,73,73,1.0,0.9562043795620438,1.045801526717557,2.134905519953345,documented
development,18,nav_marking,not_stated,True,37,31,0.8378378378378378,0.9562043795620438,0.876212089952548,-3.7830338188660617,documented
