AIC,Name,Type,MonthEnd,Code,TA,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthendMidPrice,CurrYrRev,Rev (splits only),Rev (splits only),Shares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolderFunds for share,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,Additional geographic,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,AIC Cat 2,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,FootNote,FairValue,ShareNote
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other , , , , , , , ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Japan ,Hong Kong,Korea ,Taiwan ,Singa pore,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Growth & Income,Eclectic,Ordinary Share,31/01/2007,341947,28761447,395766,395766,395766,395766,0,541199,867107,936965,165,1,,,17676598,0,0,0,N/A,0,103,,,Y,28365681,157.41,,155.6,,,157.41,,155.6,,,155.56,,155.6,,,155.56,,155.6,,,3.2,0,35,2,4,0,59,0,0,0,0,0,0,0,0,36,2,3,0,59,0,88,0,1,0,11,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,The loan facility is valued at current liability value so there is no difference between par and fair value,
Global Growth & Income,Midas Income & Growth,Ordinary Share,31/01/2007,876999,59575437,3250000,3265801,3250000,3265801,0,0,0,3250000,169.5,1487447,,,33633125,0,0,0,N/A,24,106,,,Y,56325437,167.47,163.62,,,,171.89,167.79,,,,167.42,163.58,,,,171.85,167.75,,,,5,24,47,15,1,5,2,6,0,0,0,0,0,0,0,57,43,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"The fair values of long term bank loans are calculated by discounting future ç
cash flows.",
Global Growth & Income,Murray International,Ordinary Share,31/01/2007,611190,640634494,71097557,72328060,71097557,72328060,0,0,0,71097557,623.5,0,,,87676798,0,0,0,N/A,12,112,,,Y,569536937,649.59,,,,,,,,,,648.18,,,,,,,,,,3.52,12,23,16,7,12,19,11,0,0,0,0,0,0,0,60,13,11,-5,10,11,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,"The fair value of long term bank loans are calculated by discounting future cashflows.
Debentures have no fixed redemption date.",
Global Growth & Income,Scottish American,Ordinary Share,31/01/2007,787369,461458517,89048933,99844000,89048933,99844000,0,0,0,89048933,253.75,0,,,132485943,0,0,0,N/A,4,124,10,,N,372409584,281.09,,,,,,,,,,272.95,,,,,,,,,,3.6,4,68,7,12,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Debentures at fair value is calculated using closing  offer market price from ç
the London Stock Exchange.",
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Global Smaller Companies,F&C Global Smaller Companies,Ordinary Share,31/01/2007,17505,241519190,10000000,13387900,10000000,13387900,0,0,0,10000000,440.25,1027719,,,47627781,0,120000,0,N/A,2,104,,,Y,231519190,486.1,,,,,488.26,,,,,478.99,,,,,481.15,,,,,0,2,43,14,26,11,4,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Fair value of the debenture is based upon a similar UK gilt.
Fair value of the loan is based upon the market value of the loan.",
Global Smaller Companies,Jubilee Investment Trust,Ordinary Share,31/01/2007,3253953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Hedge Funds,Absolute Return Trust,Ordinary Share,31/01/2007,B05PYY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,AcenciA Debt Strategies,Ordinary Share,31/01/2007,B0Q73G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Alternative Investment Strategies,Ordinary Share,31/01/2007,B06GDT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Invesco Perpetual Select Hedge Fund,Ordinary Share,31/01/2007,B1DQ669,20276135,0,0,0,0,0,0,0,0,99.5,0,,,19587501,0,0,0,N/A,0,100,0,,N,20276135,103.52,,,,,,,,,,103.52,,,,,,,,,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Hedge Funds,KGR Absolute Return,Redeemable Preference Shr,31/01/2007,B0MSVZ3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedge Funds,Tapestry,Ordinary Share,31/01/2007,B063C84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Cash/Non Japan FI,Japan Bonds,UK Equities,Japan 1 section,Japan 2 section,Jap OTC/ Region,TA Yen Exposure,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Japan,Baillie Gifford Japan,Ordinary Share,31/01/2007,48583,171469215,25763716,25575232,25763716,25575232,0,0,0,25763716,234,0,,,61935000,0,0,0,N/A,4,118,,,N,145705499,235.26,,,,,,,,,,235.56,,,,,,,,,,1,4,0,0,0,96,0,0,4,0,0,92,0,4,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread."
Japan,JPMorgan Japanese,Ordinary Share,31/01/2007,174002,577632257,72609909,72609909,72609909,72609909,0,0,0,72609909,249.75,0,,,185489919,0,0,0,N/A,0,114,,,N,505022348,272.26,,,,,,,,,,272.26,,,,,,,,,,1.16,0,0,0,0,100,0,0,0,0,0,85,0,15,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,
Japan,Melchior Japan,Ordinary Share,31/01/2007,B104VL6,63037706,0,0,0,0,0,0,0,0,71.5,-37000,,,87256552,0,0,0,N/A,1,100,,Y,,63037706,,,,,,72.2,,,,,,,,,,72.2,,,,,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,2,0,0,98,0,0,2,0,0,98,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,
Japan,Perpetual Japanese,Ordinary Share,31/01/2007,682958,58485510,645708,645708,645708,645708,0,0,0,645708,57.75,0,,,92165331,0,0,0,N/A,0,101,0,,Y,57839802,62.76,,,,,,,,,,62.76,,,,,,,,,,1.5,0,0,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,FV of overdraft considered to be not materially different to Par
Japan,Schroder Japan Growth,Ordinary Share,31/01/2007,802284,162012223,23440756,23440756,23440756,23440756,0,0,0,23440756,103.5,0,,,125008200,0,0,0,N/A,1,117,,,N,138571467,110.85,,,,,,,,,,110.85,,,,,,,,,,1.18,1,0,0,0,99,0,0,1,0,0,99,0,0,100,0,0,0,100,0,0,0,0,0,100,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Fair and Par are not materially different
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Cash/Non Japan FI,Japan Bonds,UK Equities,Japan 1 section,Japan 2 section,Jap OTC/ Region,TA Yen Exposure,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,UK ,Cont. Europe,North America,Japan ,Pacific ,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Japanese Smaller Companies,Atlantis Japan Growth,Ordinary Share,31/01/2007,62356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Smaller Companies,Baillie Gifford Shin Nippon,Ordinary Share,31/01/2007,70627,77689577,12248318,12249360,12248318,12249360,0,0,0,12248318,205,0,,,30600497,0,0,0,N/A,1,119,,,N,65441259,213.86,,,,,,,,,,213.85,,,,,,,,,,1.2,1,0,0,0,99,0,0,1,0,0,60,12,27,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread."
Japanese Smaller Companies,Fidelity Japanese Values,Ordinary Share,31/01/2007,332855,91689762,13392204,13511308,13392204,13511308,0,0,0,13392204,76.25,-142289,,,98207453,0,0,0,N/A,1,117,,Y,N,78297558,,,,,,79.58,,,,,,,,,,79.46,,,,,0,1,0,0,0,99,0,0,1,0,0,77,6,16,100,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,The fair value has been calculated by discounting future cash flows to current Japanese Yen interest rates.,
Japanese Smaller Companies,INVESCO Japan Discovery,Ordinary Share,31/01/2007,453110,30432032,0,0,0,0,0,0,0,0,95.25,0,,,29009915,0,0,0,N/A,1,100,0,,N,30432032,104.9,,,,,,,,,,104.9,,,,,,,,,,0.9,1,0,0,0,99,0,0,1,0,0,54,7,38,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Japanese Smaller Companies,JPMorgan Fleming Japanese Smaller Cos,Ordinary Share,31/01/2007,316581,126478282,16894239,16894239,16894239,16894239,0,0,0,16894239,271.75,-821501,,,39409423,0,0,0,N/A,4,115,,Y,N,109584043,,,,,,275.98,,,,,,,,,,275.98,,,,,0.79,4,0,0,0,96,0,0,4,0,0,75,6,15,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Japanese Smaller Companies,Prospect Japan Fund,Ordinary Share,31/01/2007,B011QL4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other , , , , , , , ,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other ,Argen tina,Brazil ,Chile ,Colum bia,Mexico ,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Latin America,Merrill Lynch Latin American,Ordinary Share,31/01/2007,505840,193153000,13000,13000,13000,13000,0,0,0,13000,390,2314663,,,47789753,0,0,0,N/A,-1,100,0,,N,193140000,404.15,,,,,408.99,,,,,404.15,,,,,408.99,,,,,0,-1,3,62,6,1,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,Calculated based on the exchange rates on the NAV date.,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,United States,Canada ,Mexico ,North America,Other ,Cash/Non US FI,US Bonds,UK Equities,S&P 500 ,Other US Equities,Other Equities,TA $ Exposure,UK ,United States,Canada ,Mexico ,North America,Other ,UK ,United States,Canada ,Mexico ,North America,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
North America,Edinburgh US Tracker,Ordinary Share,31/01/2007,29362,443270905,0,0,0,0,0,0,0,0,586.5,5139000,0,,72536242,0,204000,0,N/A,0,100,,,N,443270905,611.1,,,,,618.19,,,,,611.1,,,,,618.19,,,,,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,,,,,,,,,,,,,,"05/01/07 ú0.21M
10/01/07 ú0.15M
16/01/07 ú0.34M
17/01/07 ú0.17M
29/01/07 0.21M
31/01/07 0.13M"
North America,JPMorgan American,Ordinary Share,31/01/2007,846505,363401635,49666189,53795070,49666189,53795070,0,0,0,49666189,657.5,0,,,43279449,0,0,0,N/A,12,116,,,Y,313735446,724.91,,,,,,,,,,715.37,,,,,,,,,,1.86,12,0,88,0,0,0,0,12,0,0,76,12,0,100,0,100,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Debentures have been revalued using an estimated fair market spread over the relevant gilt; Interest rate sawaps and fixed rate loans have been revalued using mark to market estimates provided by a counterparty or other relevant source.,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,United States,Canada ,Mexico ,North America,Other ,Cash/Non US FI,US Bonds,UK Equities,S&P 500 ,Other US Equities,Other Equities,TA $ Exposure,UK ,United States,Canada ,Mexico ,North America,Other ,UK ,United States,Canada ,Mexico ,North America,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
North American Smaller Companies,F&C US Smaller Companies,Ordinary Share,31/01/2007,346340,73361858,0,0,0,0,0,0,0,0,287.75,78980,,,22507585,0,0,0,N/A,3,100,,,Y,73361858,325.94,,,,,326.29,,,,,325.94,,,,,326.29,,,,,1.4,3,0,97,0,0,0,0,3,0,0,0,97,0,100,0,100,0,0,0,0,0,100,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
North American Smaller Companies,JPMorgan US Discovery,Ordinary Share,31/01/2007,341710,107089857,11328392,11328392,11328392,11328392,0,0,0,11328392,805.5,-884851,,,10159480,0,0,0,N/A,0,112,,Y,Y,95761465,,,,,,933.87,,,,,,,,,,933.87,,,,,0.3,0,0,100,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
North American Smaller Companies,North Atlantic Smaller Companies,Ordinary Share,31/01/2007,643900,243783559,2070478,2070478,2070478,2070478,0,285555,65534953,2356033,1153,0,,,13780945,0,0,0,N/A,22,101,35,,Y,241713081,1751.89,1680.71,1240.06,1214.37,,,,,,,1278.42,1240.16,1240.06,1214.37,,,,,,,0,22,55,23,0,0,0,0,22,0,55,0,23,0,30,50,32,18,0,0,0,66,30,4,0,0,0,/zA,0,0,0,0,0,0,0,,,,,,,,,,,,,"Fair value has been estimated using a discounted cash flow model utilising the rate of interest which would be paid if debt with the same terms and conditions were taken out today.  The CULS have been valued using the month
end market value.",
North American Smaller Companies,Renaissance US Growth,Ordinary Share,31/01/2007,732518,62661009,0,0,0,0,0,0,0,0,288.5,-280511,,,19332008,0,0,0,N/A,19,100,,,Y,62661009,324.13,,,,,322.68,,,,,324.13,,,,,322.68,,,,,0,19,0,78,3,0,0,0,19,0,0,0,78,3,97,8,92,0,0,0,0,0,97,3,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note,
Overseas Growth,Edinburgh Worldwide,Ordinary Share,31/01/2007,291633,152348808,25311435,25781027,25311435,25781027,0,0,0,25311435,236.75,0,,,49004319,0,0,0,N/A,5,120,,,Y,127037373,259.24,,,,,,,,,,258.28,,,,,,,,,,1.4,5,2,25,33,5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread.",
Overseas Growth,JPMorgan Overseas,Ordinary Share,31/01/2007,914327,215855862,200000,151373,200000,151373,0,0,0,200000,620,1841648,,,32854448,0,453000,0,N/A,1,100,,,Y,215655862,656.4,,,,,662,,,,,656.55,,,,,662.15,,,,,1.87,1,6,33,38,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,Debentures have been revalued using an estimated fair market spread over the relevant gilt; Interest rate swaps and fixed rate loans have been revalued using mark to market estimates provided by a counterparty or other relevant source.
Overseas Growth,Mid Wynd International,Ordinary Share,31/01/2007,589383,48875612,1532645,1532645,1532645,1532645,0,0,0,1532645,800.5,0,,,5027766,0,0,0,N/A,4,103,,,N,47342967,941.63,,,,,,,,,,941.63,,,,,,,,,,2.2,4,20,30,25,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,"Short term loans (within 1 year) - Par value.

Long term loans - Yield of government bond with a similar duration + appropriate spread."
Category,Fund,Share,Date,SEDOL,TotalAssets,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Price,CurrYrRev,Res (splits only),Res% (splits only),NumberShares,SharesIssued,SharesPurch,TryShares,SellbelowNAV,Cash,Gearing,Unlisted,PermLoss,Perffee,ShHolder Funds for share,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,CFI,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Cash & Fixed Int.,UK listed,UK unlisted,Cont.Eur listed,Cont.Eur unlisted,US listed,US unlisted,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,AIC Cat 2,Name,in issue,Perf NAV,Pub NAV,Gearing,Name,in issue,NAV Par,NAV Fair,Gearing,FootNote,Note
Private Equity,August Equity,Ordinary Share,31/01/2007,3095531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Candover,Ordinary Share,31/01/2007,171315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Dunedin Enterprise,Ordinary Share,31/01/2007,577656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,F&C Private Equity A,Ordinary Share,31/01/2007,3073816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,F&C Private Equity B,Ordinary Share,31/01/2007,3073827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private Equity,Graphite Enterprise,Ordinary Share,31/01/2007,329200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
