FundName,SEDOL(conv),Prior Charge,PCType,RepayType,Coupon,Fixed,% to Cap,CCY,Issued,IssuedValue,IssuedValGBP,CurrentValue,FairValue,RedValue,Notes,RedeemedFlag NIL
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,06/05/2005,7555800,7555800,8212400,8212400,9800000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,14/06/2005,4076800,4076800,4357600,4357600,5200000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,21/12/2005,1604000,1604000,1676000,1676000,2000000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,19/04/2006,8503250,8503250,8816825,8816825,11300000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,21/12/2006,3073000,3073000,3121000,3121000,4000000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,04/12/2006,10065250,10065250,10143250,10143250,13000000,,F
Glasgow Income,370866,FTSE Options,O,Z,0,,0,GBP,31/01/2007,1988350,1988350,2028650,2028650,2600000,,F
Henderson Far East Income,B1GXH75,bank overdraft,L,N,,,,GBP,31/12/2006,844000,844000,0,0,0,bank overdraft,T
Henderson Global Property Companies,B17MXW8,AUD Loan,L,N,6.74,,,AUD,21/09/2006,0,0,2328847,2328847,0,,F
Henderson Global Property Companies,B17MXW8,EUR Loan,L,N,3.81,,,EUR,21/09/2006,0,0,2337489,2337489,0,,F
Henderson Global Property Companies,B17MXW8,USD Loan,L,N,5.91,,,USD,21/09/2006,0,0,4322046,4322046,0,,F
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,,,75,GBP,19/12/2006,14030312,14030312,0,0,14030312,,T
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,,,75,GBP,18/12/2006,19273575,19273575,0,0,19273575,,T
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,,,75,USD,20/12/2006,1520931,777115,0,0,777115,,T
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,5.873,Y,75,GBP,30/01/2007,11250000,11250000,11250000,11250000,11250000,,F
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,5.942,Y,75,GBP,25/01/2007,19389805,19389805,19389805,19389805,19389805,,F
Henderson High Income,958057,SHORT TERM BANK LOAN,L,N,5.82,Y,75,USD,10/01/2007,1526122,779668,779668,779668,779668,,F
Henderson Opportunities,853657,RBS,L,N,,,,GBP,31/01/2007,4250000,4250000,4250000,4250000,0,GBP LOAN,F
Henderson Smaller Companies,906506,Debenture Stock - 10.5% 2016,D,N,10.5,,0,GBP,01/01/2001,20000000,20000000,20000000,26695000,20000000,,F
Henderson Smaller Companies,906506,Preference Stock,P,N,0,,0,GBP,01/01/2001,9000,9000,9000,9000,9000,,F
Henderson Smaller Companies,906506,Bank Loan,L,N,5.6,,,GBP,20/12/2006,12500000,12500000,0,0,12500000,,T
Henderson Smaller Companies,906506,Bank Loan,L,N,5.62,,,GBP,15/12/2006,7007397,7007397,0,0,7007397,,T
Henderson Smaller Companies,906506,Bank Loan,L,N,5.71,,,GBP,31/01/2007,14250000,14250000,14250000,14250000,14250000,,F
Henderson TR Pacific,871079,LOAN DRAWN,L,N,4.8,,75,HKD,12/12/2006,225407342,14746626,0,0,15010744,,T
Henderson TR Pacific,871079,LOAN DRAWN,L,N,4.62,,75,HKD,18/12/2006,250000000,16530948,0,0,16579074,,T
Henderson TR Pacific,871079,LOAN DRAWN,L,N,4.6,Y,75,HKD,22/01/2007,150262932,9749578,9830455,9830455,0,,F
Henderson TR Pacific,871079,LOAN DRAWN,L,N,4.6,Y,75,HKD,26/01/2007,226714524,14815570,14832048,14832048,0,,F
Henderson TR Pacific,871079,LOAN DRAWN,L,N,4.6,Y,75,GBP,31/01/2007,1056000,1056000,1056000,1056000,0,,F
Herald,422864,Loan RBS Sterling 20m,L,N,5.811,,,GBP,06/10/2006,20000000,20000000,20000000,20000000,0,,F
iimia Investment Trust,3436594,Revolving credit facility 01&02,L,N,6.041,,0,GBP,29/01/2007,1250000,1250000,1250000,1250000,1250000,,F
iimia Investment Trust,3436594,Revolving credit facility 00,L,N,6.041,,0,GBP,22/01/2007,2500000,2500000,2500000,2500000,2500000,,F
Independent Investment Trust,81168,Loan Eur 21.5M,L,N,4.087,,,EUR,15/11/2006,21500000,14542749,14272438,14272438,0,,F
Independent Investment Trust,81168,Loan USD 46.8m,L,N,5.874,,,USD,15/11/2006,46800000,24708305,23909267,23909267,0,,F
INVESCO Asia,453530,Overdraft,L,N,0,N,75,GBP,,0,5100000,10350000,10350000,5100000,,F
INVESCO English & International,B0LM0M6,Debenture stock,D,N,6.75,Y,50,GBP,,0,38959248,19938948,24056750,38959248,,F
INVESCO Leveraged High Yield,B05NYM3,REPOS,O,N,,N,50,GBP,,0,0,34757561,34757561,0,,F
Invesco Perpetual Select UK Equity,B1DPVL6,overdraft,L,N,,N,,GBP,,0,0,887705,887705,0,,F
Investec High Income,3019746,Bank loan,L,N,6.34,,70,GBP,27/03/2001,14600000,14600000,14600000,14600000,14600000,,F
