AIC,Fund,Share,MonthEnd,Code,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,Monthend MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),RevAllocation % (splits only),Shares,Shares,Shares,Shares,Sell,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,Gearing,Range,NoRange,GearingNote,Permanent,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,Par, Par, Par, Par, Par, Par, Par, Par, Par, Par,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,PFY,Regional distribution,,,,,,,,Additional geographic,,,,,,,,CFI Exposure,,,,,,CCY Exposure,,,,,,Flags,Add P/F,,,,,,,,AIC,Unit1,Unit1,Unit1,Unit1,Unit1,Unit1,Unit2,Unit2,Unit2,Unit2,Unit2,Unit2,Total Assets ex CYR,FootNote,FairValue,ShareNote,Reported Currency
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other , , , , , , , , ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Hong Kong,Singa pore,Korea ,Taiwan ,China ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Country Specialists: Latin America,JPMorgan Brazil,Ordinary Share,30/06/2014,GB00B602HS43,39573820,261279,261279,261279,261279,0,0,0,0,0,261279,68.75,,627471,,,52816319,0,180000,8912579,No,1,1,0,,,,Y,,N,100,39312541,38685070,73.24,,,,73.24,74.43,,,,74.43,73.24,,,,73.24,74.43,,,,74.43,3.5,1,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,38946349,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Country Specialists: Other,Qatar Investment,Ordinary Share,30/06/2014,IM00B1Z40704,219315051,0,0,0,0,0,0,0,0,0,0,1.28,,5591197,,,155077350,0,108000,3793272,N/A,7.55,0,0,8,,,Y,,N,100,219315051,213723854,1.38,,,,1.35,1.41,,,,1.38,1.38,,,,1.35,1.41,,,,1.38,4.2,7.55,0,0,0,0,0,0,92.45,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,213723854,,,"17/06/14	-4,000.0000	-5,130.00
19/06/14	-30,000.0000	-39,525.00
20/06/14	-10,000.0000	-13,100.00
23/06/14	-5,000.0000	-6,500.00
24/06/14	-15,000.0000	-19,450.01
25/06/14	-10,000.0000	-12,950.00
26/06/14	-12,000.0000	-15,480.00
27/06/14	-12,000.0000	-15,480.00
30/06/14	-10,000.0000	-12,850.00
",USD
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Europe,BlackRock Greater Europe,Ordinary Share,30/06/2014,GB00B01RDH75,270193313,7229,7229,7229,7229,0,0,0,0,0,7229,239,,3407402,,,108815767,0,0,5429676,Yes,1.53,0,0,2,0,15,,,N,100,270186084,266778682,245.17,245.17,,,245.17,248.3,248.25,,,247.88,245.17,245.17,,,245.17,248.3,248.25,,,247.88,2.57,1.53,0,0,19.33,12.07,9.32,16.66,41.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,266785911,,,,GBP
Europe,European Investment Trust,Ordinary Share,30/06/2014,GB0003295010,354306957,0,0,0,0,0,0,0,0,0,0,781,,5529247,,,42069371,0,0,0,N/A,1.81,0,0,2,0,20,,,N,100,354306957,348777710,829.05,,,,,842.2,,,,,829.05,,,,,842.2,,,,,2.98,1.81,0,0,16.19,12.6,16.98,17.33,35.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,348777710,,,,GBP
Europe,Fidelity European Values,Ordinary Share,30/06/2014,GB00BK1PKQ95,757437869,44427821,44427821,44427821,44427821,44427821,0,0,0,0,44427821,158,,13268888,,,417440498,376129557,481232,0,N/A,1.84,6,4,,0,30,,,N,100,713010048,699741160,167.63,,,,,170.81,,,,,167.63,,,,,170.81,,,,,,1.84,0,4.66,20.74,15.81,1.86,18.95,36.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,744168981,,,"On 2 June 2014 there was a 10 for 1 sub-division of the Company's shares. 41,792,173 existing ordinary shares of 25 pence each were replaced by 417,921,730 ordinary shares of 2.5 pence each. Later in the month 481,232 ordinary shares were repurchased and cancelled for a total consideration of £759,000.",GBP
Europe,Henderson EuroTrust,Ordinary Share,30/06/2014,GB0004199294,175969000,4293919,4293919,4293919,4293919,0,0,0,0,0,4293919,841,,2519000,,,20390541,0,0,0,N/A,0.01,3,2,,0,30,,,N,100,171675081,169156081,829.58,,,,,841.93,,,,,829.58,,,,,841.93,,,,,2.4,0.01,0,0,21.15,26.57,4.66,21.42,26.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,173450000,,,,GBP
Europe,Henderson European Focus,Ordinary Share,30/06/2014,GB0005268858,187778541,14637927,14637927,14637927,14637927,0,0,0,0,0,14637927,980,,2770114,,,17773419,105000,0,430730,No,-0.94,8,9,,0,20,,,N,100,173140614,170370500,958.57,,,,958.57,974.15,,,,974.15,958.57,,,,958.57,974.15,,,,974.15,2.83,-0.94,0,0,12.93,22.91,4.65,21.63,38.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,185008427,,,,GBP
Europe,JPMorgan European Growth,Ordinary Share,30/06/2014,GB00B18JK166,263941718,27225254,27225254,27225254,27225254,0,0,0,0,0,27225254,231,,4371171,,,93752402,0,0,0,No,8,12,3,,0,20,,,N,100,236716464,232345293,247.83,,,,,252.49,,,,,247.83,,,,,252.49,,,,,3.07,8,0,0,16,18,8,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,259570547,,,,GBP
Europe,JPMorgan European Income,Ordinary Share,30/06/2014,GB00B17XWW44,98596617,12509439,12509439,12509439,12509439,0,0,0,0,0,12509439,126.63,,2295287,,,64100264,0,0,0,No,5,15,9,,0,20,,,N,100,86087178,83791891,130.72,,,,,134.3,,,,,130.72,,,,,134.3,,,,,3.94,5,0,0,16,14,6,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,96301330,,,,GBP
Europe,Jupiter European Opportunities,Ordinary Share,30/06/2014,GB0000197722,452468374,46318326,46318326,46318326,46318326,0,0,0,0,0,46318326,451.5,,1352733,,,90726474,50000,0,0,N/A,3.87,11,7,,,,Y,,N,100,406150048,404797315,446.17,,,,,447.66,,,,,446.17,,,,,447.66,,,,,1.97,3.87,0,24.53,7.4,18.52,8.2,8.49,28.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,451115641,,,"The Company issued 50,000 ordinary shares @463.25p per share on 12 June 2014.",GBP
Europe,Sanditon Investment,Ordinary Share,30/06/2014,GB00BMPHJ807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other , , , , , , , , ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Czech Republic,Hungary ,Poland ,Russia ,Turkey ,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
European Emerging Markets,Baring Emerging Europe,Ordinary Share,30/06/2014,GB0032273343,150365949,0,0,0,0,0,0,0,0,0,0,677,,1220155,,,19498043,0,0,3318207,No,2.85,0,0,3,,,Y,No gearing on this trust,N,100,150365949,149145794,764.93,,,,764.93,771.18,,,,771.18,764.93,,,,764.93,771.18,,,,771.18,2.46,2.85,0,0,2.87,10.5,59.23,16.29,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,149145794,,,,GBP
European Emerging Markets,BlackRock Emerging Europe,Common Stock,30/06/2014,GB00B0BN1P96,111557635,7056130,7056130,7056130,7056130,4683540,2359770,0,0,0,7056130,264.13,,910104,,,36242928,0,0,5400000,No,2.74,7,4,,0,20,,,N,100,104501505,103591401,285.83,,,,285.83,288.34,,,,288.34,285.83,,,,285.83,288.34,,,,288.34,2.75,2.74,0,0,6.13,8.85,50.87,14.72,16.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,110647531,,,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,France ,Germany ,Nether lands,Switzer land,Other , , , , , , , , ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,UK ,France ,Germany ,Nether lands,Switzer land,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
European Smaller Companies,European Assets,Ordinary Share,30/06/2014,NL0000226090,208425133,10915036,10915036,10915036,10915036,0,0,0,0,0,10915036,960,,0,,,20679332,365000,0,4257948,Yes,0.39,6,5,,0,20,,,Y,100,197510097,197510097,,,,,,955.11,,,,955.11,,,,,,955.11,,,,955.11,,0.39,0,0,2.84,20.93,9.16,10.78,55.9,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,208425133,,,,GBP
European Smaller Companies,JPMorgan European Smaller Companies,Ordinary Share,30/06/2014,GB0003419693,496065877,94850443,94850443,94850443,94850443,0,0,0,0,0,94850443,1132,,5695647,,,32029577,0,0,0,No,0,24,24,,0,20,,,N,100,401215434,395519787,1234.86,,,,,1252.64,,,,,1234.86,,,,,1252.64,,,,,2.09,0,0,2,14,12,8,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,490370230,,,,GBP
European Smaller Companies,Montanaro European Smaller Companies,Ordinary Share,30/06/2014,GB0004543517,107008404,11919581,11919581,11919581,11919581,0,0,0,0,0,11919581,515,,1216328,,,16633260,0,0,815000,Yes,5.82,13,6,,0,30,,,N,100,95088823,93872495,564.37,,,,562.06,571.68,,,,569.03,564.37,,,,562.06,571.68,,,,569.03,,5.82,0,0,11.63,21.22,0,12.08,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,105792076,,,,GBP
European Smaller Companies,TR European Growth,Ordinary Share,30/06/2014,GB0009066928,370772000,45304000,45304000,45304000,45304000,0,0,0,0,0,45304000,573.75,,5599000,,,49975897,0,0,0,N/A,-0.39,14,14,,0,30,,,N,100,325468000,319869000,640.05,,,,,651.25,,,,,640.05,,,,,651.25,,,,,,-0.39,0,0,13.46,23.33,5.48,11.65,46.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,365173000,,Par and fair values are not materially different,,GBP
Category,Name,Type,Date,ISIN,Total Assets incl CYR,PC Total Par,PC Total Fair,PC Debt Par,PC Debt Fair,TotLongCashOffset,TotShortCashOffset,PC Equity,Convertibles Par,Convertibles Fair,PC Gearing,MonthEnd MidPrice,Price for TS dilution,CurrYrRev(CYR),Rev Res (splits only),Rev Allocation % (splits only),Number,Issued,Purch,Treasury,below NAV,Cash/CashEquiv,GrossGearing,NetGearing,NetCash,From,To,NoRange,GearingNote,Loss,CYR allocation %,SHF per share inc CYR,SHF per share exc CYR,PCNCWNE,   PCNCWE,   PCCWNE,   PCCWE,   PCCWETS,PCNCWNEcum,PCNCWEcum,PCCWNEcum,PCCWEcum,PCCWETScum,FCNCWNE,   FCNCWE,   FCCWNE,   FCCWE,   FCCWETS,FCNCWNEcum,FCNCWEcum,FCCWNEcum,FCCWEcum,FCCWETScum,PFY,Cash/Cash Equiv.,Fixed Interest,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other , , , , , , , , ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,UK ,Cont. Europe,North America,Japan ,Other Pacific,Other ,Flags,,,,,,,,,Cat 2,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Name,in issue,NAV Par,NAV Fair,Gross Gearing,Net Gearing,Total Assets ex CYR,FootNote,Note,Note,
Global,Alliance Trust,Ordinary Share,30/06/2014,GB00B11V7W98,3223346016,380000000,380000000,380000000,380000000,0,0,0,0,0,380000000,445.6,,23114950,,,555014830,0,831083,0,N/A,1.59,13,12,,0,18,,,N,100,2843346016,2820231066,508.14,,,,,512.3,,,,,508.14,,,,,512.3,,,,,2.14,1.59,5.83,24.1,19.74,40.3,1.88,5,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,3200231066,Trust went Xd on 04.06.14 2.458p regular dividend + 1.282p special Pay date 30.06.14,"Fair values are calculated by accruing the interest payable on a daily basis. ç
ç
The latest valuation is as at 30/06/2014",,GBP
Global,BACIT,Ordinary Share,30/06/2014,GG00B8P59C08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,Bankers,Ordinary Share,30/06/2014,GB0000767003,675036000,25000000,30142000,25000000,30142000,0,0,0,0,0,25000000,565,,7767000,,,112106839,0,0,0,N/A,0.77,4,3,,0,20,,,N,100,650036000,642269000,572.91,,,,,579.84,,,,,568.32,,,,,575.25,,,,,2.7,0.77,0,43.92,11.93,20.24,8.94,11.71,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,667269000,,,,GBP
Global,British Empire Securities & General,Ordinary Share,30/06/2014,GB0001335081,862719203,14934083,18525000,14934083,18525000,0,0,0,0,0,14934083,497,,9105180,,,146919566,0,627049,13094523,No,3.3,2,0,2,0,3,,,N,100,847785120,838679940,570.84,,,,570.84,577.04,,,,577.04,568.4,,,,568.4,574.6,,,,574.6,2.34,3.3,1.53,18.11,41.5,10.43,4.79,18.15,2.19,0,0,0,0,0,0,0,0,53,43,1,0,3,0,21,44,10,5,18,2,dp,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,853614023,,,,GBP
Global,Brunner,Ordinary Share,30/06/2014,GB0001490001,322916542,50999919,62628807,50999919,62628807,0,0,0,0,0,50999919,532.5,,2316329,,,43089418,0,0,0,N/A,3.55,19,15,,0,20,,,N,100,271916623,269600294,625.68,,,,,631.05,,,,,598.69,,,,,604.06,,,,,2.76,3.55,5.55,44.49,11.35,24.99,2.97,4.84,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,320600213,,,,GBP
Global,Caledonia,Ordinary Share,30/06/2014,GB0001639920,1468449000,20000000,20000000,20000000,20000000,0,0,0,0,0,20000000,2225,,38697000,,,55110797,19584,5243,0,N/A,2.68,1,0,1,,,Y,,N,100,1448449000,1409752000,2558.03,2524.22,,,,2628.25,2593.41,,,,2558.03,2524.22,,,,2628.25,2593.41,,,,2.49,2.68,0,52.11,17.85,14.67,0,8.15,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,22,0,2,4,*,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1429752000,,,19584 shares were released by the ESOP and 5243 repurchased on the calling of deferred bonus awards,GBP
Global,Cayenne Trust,Ordinary Share,30/06/2014,GB0006369119,64248580,0,0,0,0,0,0,0,13129217,13987616,13129217,142.5,,371954,,,34602605,0,40000,4500305,Yes,7,26,17,,,,Y,,N,100,51119363,50747409,146.66,,,,146.18,147.73,,,,147.13,144.18,,,,143.98,145.25,,,,144.94,1.58,7,14,29,19,22,1,7,1,0,0,0,0,0,0,0,0,162,-50,-12,0,0,0,47,18,25,1,8,1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,63876626,,,,GBP
Global,EP Global Opportunities,Ordinary Share,30/06/2014,GB0033862573,115158201,3710273,3710273,3710273,3710273,0,0,0,0,0,3710273,225,,1208052,,,48002725,0,0,16506917,No,5.1,3,0,2,0,25,,,N,100,111447928,110239876,229.65,,,,229.65,232.17,,,,232.17,229.65,,,,229.65,232.17,,,,232.17,2.23,5.1,0,10.51,29.43,9.38,32.69,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,113950149,,,,GBP
Global,Edinburgh Worldwide,Ordinary Share,30/06/2014,GB0002916335,231313379,28689996,28773367,28689996,28773367,0,0,0,0,0,28689996,396.75,,-16005,,,49004319,0,0,0,N/A,4,14,10,,,,Y,,N,100,202623383,202639388,413.51,,,,,413.48,,,,,413.34,,,,,413.31,,,,,0.4,4,0,22,14,44,6,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,231329384,,,,GBP
Global,Establishment Investment Trust,Ordinary Share,30/06/2014,GB0031336919,41894091,0,0,0,0,0,0,0,0,0,0,167.5,,644329,,,20000000,0,0,0,N/A,17,0,0,17,,,Y,,N,100,41894091,41249762,206.25,,,,,209.47,,,,,206.25,,,,,209.47,,,,,3,17,0,11,14,0,0,58,0,0,0,0,0,0,0,0,0,0,0,85,0,14,1,11,14,0,0,58,17,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,41249762,,,,GBP
Global,F&C Global Smaller Companies,Ordinary Share,30/06/2014,GB0000175058,454633000,10000000,10490000,10000000,10490000,0,0,0,0,0,10000000,866,,4506000,,,51536102,115000,0,0,Yes,3.92,2,0,2,0,20,,,N,100,444633000,440127000,854.02,,,,,862.76,,,,,853.07,,,,,861.81,,,,,1.3,3.92,0,26.65,11.84,38.39,9.13,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,450127000,,Fair value calculated based on spread above Treasury 5% 2014.,"The company 115,000 issued shares between the prices of 858.25p and 876.5p raising £1.0m.",GBP
Global,Foreign & Colonial Investment Trust,Ordinary Share,30/06/2014,GB0003466074,2607528000,195466000,200017000,195466000,200017000,0,0,0,0,0,195466000,378.2,,25422000,,,566677016,0,1192000,0,N/A,0.84,8,7,,,,Y,,N,100,2412062000,2386640000,421.16,,,,,425.65,,,,,420.36,,,,,424.85,,,,,1.95,0.84,0,16.77,27.69,37.26,5.3,7.02,5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2582106000,,"Fair values on debentures are calculated based on traded price. 
short term loans are calculated based on the exchange rates on the NAV date.","During June 1,192,000 shares were repurchased for £4,496,000",GBP
Global,F&C Managed Portfolio Growth,Ordinary Share,30/06/2014,GB00B2PP2527,36003717,544069,544069,544069,544069,0,0,0,0,0,544069,136.75,,0,,,26114843,200000,0,1290000,Yes,5,2,0,4,0,25,,,N,100,35459648,35459648,135.78,,,,135.78,135.78,,,,135.78,135.78,,,,135.78,135.78,,,,135.78,1.6,5,2,38,19,19,3,9,5,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,19,19,3,9,5,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,36003717,,,"During the month 200,000 Growth shares were sold from treasury for proceeds of £277,750.",GBP
Global,Henderson Global,Ordinary Share,30/06/2014,GB0003184024,158217691,1000000,605000,1000000,605000,0,0,0,0,0,1000000,364,389.17,1028871,,,39284569,0,350812,1896782,No,0.25,1,0,,0,15,,,N,100,157217691,156188820,397.58,,,,397.58,400.2,,,,400.2,398.59,,,,398.59,401.21,,,,401.21,3,0.25,0,16.94,14.74,50.5,5.48,11.65,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,50,6,11,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,157188820,,,"06/06/14 share buyback of 264,028 shares at 364.88p. 
13/06/14 share buyback of 86,784 shares at 367.0p.",GBP
