file,publication_type,rows_parsed,rows_with_price,rows_with_nav
2015-12_mir_ErrataAdditional1512.CSV,mir,2,2.0,2.0
2015-12_mir_MIR1512.CSV,mir,422,204.0,203.0
2015-12_mir_PostMIRErrataAdditional1512.csv,mir,3,3.0,3.0
2016-01_mir_ERR1601.CSV,mir,34,34.0,34.0
2016-01_mir_MIR1601.CSV,mir,420,207.0,205.0
2016-01_mir_PostMIRErrataAdditional1601.csv,mir,28,28.0,27.0
2016-02_mir_ERR1602.CSV,mir,43,43.0,42.0
2016-02_mir_MIR1602.CSV,mir,420,209.0,207.0
2016-02_mir_PostMIRErrataAdditional1602.csv,mir,2,2.0,2.0
2016-03_mir_ERR1603.CSV,mir,45,45.0,44.0
2016-03_mir_MIR1603.CSV,mir,417,204.0,202.0
2016-03_mir_PostMIRErrataAdditional1603.csv,mir,4,4.0,4.0
2016-04_mir_ERR1604.CSV,mir,37,37.0,36.0
2016-04_mir_MIR1604.CSV,mir,418,205.0,203.0
2016-04_mir_PostMIRErrataAdditional1604.csv,mir,1,1.0,1.0
2016-05_mir_ERR1605.CSV,mir,38,38.0,37.0
2016-05_mir_MIR1605.CSV,mir,416,207.0,206.0
2016-05_mir_PostMIRErrataAdditional1605.csv,mir,4,4.0,4.0
2016-06_mir_ERR1606.CSV,mir,30,30.0,30.0
2016-06_mir_MIR1606.CSV,mir,418,206.0,204.0
2016-06_mir_PostMIRErrataAdditional1606.csv,mir,23,23.0,23.0
2016-07_mir_ERR1607.CSV,mir,30,30.0,30.0
2016-07_mir_MIR1607.CSV,mir,415,198.0,197.0
2016-07_mir_PostMIRErrataAdditional1607.csv,mir,24,23.0,24.0
2016-08_mir_ERR1608.CSV,mir,36,35.0,36.0
2016-08_mir_MIR1608.CSV,mir,415,205.0,204.0
2016-08_mir_PostMIRErrataAdditional1608.csv,mir,28,28.0,28.0
2016-09_mir_ERR1609.CSV,mir,33,33.0,33.0
2016-09_mir_MIR1609.CSV,mir,410,199.0,198.0
2016-09_mir_PostMIRErrataAdditional1609.csv,mir,26,26.0,26.0
