ticker,date,headline,amount,unit,currency,amount_gbx,ex_date,pay_date,confidence,period,title
MYI,2008-04-22,Dividend Declaration,,,,,,,,,Dividend Declaration
MYI,2009-12-01,Third Interim Dividend,5.6,p,GBX,5.6,2010-01-06,,high,third interim,Third Interim Dividend
MYI,2012-08-14,Second Interim Dividend,9.0,p,GBX,9.0,2012-10-10,2012-11-15,high,second interim,Second Interim Dividend
MYI,2013-08-13,Second Interim Dividend,9.5,p,GBX,9.5,2013-10-09,2013-11-15,high,second interim,Second Interim Dividend
MYI,2013-12-04,Dividend Declaration,9.5,p,GBX,9.5,2014-01-08,2014-02-18,high,third interim,Dividend Declaration
MYI,2014-12-03,Dividend Declaration,10.0,p,GBX,10.0,2015-01-08,2015-02-18,high,third interim,Dividend Declaration
MYI,2015-08-13,Second Interim Dividend Declaration,10.5,p,GBX,10.5,2015-10-08,2015-11-17,high,second interim,Second Interim Dividend Declaration
MYI,2023-04-21,First Interim Dividend,12.0,p,GBX,12.0,2023-07-06,2023-08-16,high,first interim,First Interim Dividend
MYI,2026-04-23,First Interim Dividend,2.8,pence,GBX,2.8,2026-07-02,2026-08-14,high,first interim,First Interim Dividend
NAIT,2015-01-15,Third Interim Dividend,6.5,p,GBX,6.5,,2015-02-13,medium,third interim,Third Interim Dividend
NAIT,2016-01-14,Third Interim Dividend,7.0,p,GBX,7.0,,2016-02-19,medium,third interim,Third Interim Dividend
NAIT,2018-07-12,First Interim Dividend,8.0,p,GBX,8.0,,2018-08-03,medium,first interim,First Interim Dividend
NAIT,2019-07-11,First Interim Dividend,1.7,p,GBX,1.7,,2019-08-02,medium,first interim,First Interim Dividend
NAIT,2023-06-12,First Interim Dividend and Dividend Outlook,2.6,pence,GBX,2.6,2023-07-20,2023-08-04,high,first interim,First Interim Dividend and Dividend Outlook
NAIT,2023-12-19,Tthird Interim Dividend,2.6,pence,GBX,2.6,2023-12-28,2024-01-19,high,interim,Tthird Interim Dividend
NCYF,2019-01-16,Dividend Declaration,1.0,pence,GBX,1.0,2019-01-24,2019-02-28,high,second interim,Dividend Declaration
NCYF,2019-07-17,Dividend Declaration,1.45,pence,GBX,1.45,2019-07-25,2019-08-30,high,fourth interim,Dividend Declaration
NCYF,2024-10-16,Dividend Declaration,1.0,pence,GBX,1.0,2024-10-24,2024-11-29,high,first interim,Dividend Declaration
NCYF,2026-01-13,Second 2026 Interim Dividend Declaration,,,,,,,,,Second 2026 Interim Dividend Declaration
PAC,2014-04-14,Dividend Declaration,,,,,,,,,Dividend Declaration
SAIN,2008-05-22,Dividend Declaration,2.15,p,GBX,2.15,2008-06-04,2008-06-30,high,first interim,Dividend Declaration
SAIN,2011-05-20,Dividend Declaration,2.35,p,GBX,2.35,2011-06-01,2011-06-30,high,first interim,Dividend Declaration
SAIN,2016-11-16,Dividend Declaration,2.7,p,GBX,2.7,2016-11-24,2016-12-16,high,third interim,Dividend Declaration
SAIN,2017-11-14,Dividend Declaration,2.8,p,GBX,2.8,2017-11-23,2017-12-18,high,third interim,Dividend Declaration
SAIN,2021-05-20,Dividend Declaration,3.05,p,GBX,3.05,2021-05-27,2021-06-23,high,first interim,Dividend Declaration
SAIN,2025-02-17,Dividend Declaration,4.175,p,GBX,4.175,2025-02-27,2025-04-11,high,final,Dividend Declaration
SAIN,2025-05-15,Dividend Declaration,3.625,p,GBX,3.625,2025-05-22,2025-06-19,high,first interim,Dividend Declaration
SCP,2012-12-13,Dividend Declaration,6.82,p,GBX,6.82,2013-01-02,2012-09-30,high,final,Dividend Declaration
SCP,2017-12-20,Dividend Declaration,10.0,pence,GBX,10.0,2018-01-04,2017-09-30,high,final,Dividend Declaration
SCP,2018-06-27,Dividend Declaration,3.3,pence,GBX,3.3,2017-07-12,2018-09-30,high,interim,Dividend Declaration
SCP,2019-06-26,Dividend Declaration,3.8,pence,GBX,3.8,2019-07-11,2019-09-30,high,interim,Dividend Declaration
SCP,2021-06-22,Dividend Declaration,,,,,,,,,Dividend Declaration
SCP,2024-06-27,Dividend Declaration,6.0,pence,GBX,6.0,2024-07-11,2024-09-30,high,interim,Dividend Declaration
SCP,2026-06-29,Dividend Declaration,6.5,pence,GBX,6.5,2026-07-09,2026-09-30,high,interim,Dividend Declaration
SDP,2021-12-09,Dividend Declaration,9.7,p,GBX,9.7,2021-12-30,2021-09-30,high,final,Dividend Declaration
SDP,2022-12-07,Dividend Declaration,12.0,pence,GBX,12.0,2022-12-29,2022-09-30,high,final,Dividend Declaration
SDP,2023-12-06,Dividend Declaration,12.0,pence,GBX,12.0,2023-12-28,2023-09-30,high,final,Dividend Declaration
SDV,2005-05-31,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2005-08-31,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2006-02-27,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2006-08-31,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2007-08-31,Dividend Declaration,,,,,,,,,Dividend Declaration
SDV,2007-12-04,Dividend Declaration,,,,,,,,,Dividend Declaration
