security_id,company_name,entry_month,exit_month,months_held,entry_discount,entry_z,entry_nav_cagr_5y,spell_compound_return,n_missing_returns,contribution
SEDOL:295958,Standard Life UK Smaller Companies,2017-04,2018-08,17,-0.08274693464498373,-0.5236684362348806,0.14437354712931233,0.44977456181370923,0,0.06023059494531103
SEDOL:294502,Edinburgh Dragon,2013-03,2013-08,6,-0.0698263042996804,0.7562967423712759,0.13203997169088952,0.3406046504531135,0,0.060079751883030684
SEDOL:B44ZTP6,Aberdeen Latin American Income,2018-11,2020-01,15,-0.13272010512483567,-0.2799268660357059,0.12112847368080036,0.3212288556801748,0,0.05807090316451141
SEDOL:455934,International Biotechnology,2014-06,2014-10,5,-0.17678920262830766,-1.7044536244306334,0.20255656975065323,0.3896379390932294,0,0.057090231907187525
SEDOL:295958,Standard Life UK Smaller Companies,2019-11,2020-01,3,-0.08328675237562888,-0.7902160316266267,0.12721166388626337,0.5064058849987665,0,0.05487804878048777
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2012-05,2013-01,9,-0.17670173659525923,-0.6465752579874844,0.1882425816962784,0.29223782358328765,0,0.052408079475054214
SEDOL:781606,Finsbury Growth & Income,2019-04,2020-01,10,0.0016795350467007086,-0.6784241966699246,0.1161079137334349,0.28014244420233303,0,0.04210179120060681
SEDOL:906506,Henderson Smaller Companies,2016-04,2017-05,14,-0.15974596971177335,-1.1642587420716601,0.1388221090947723,0.3272425249169433,0,0.04161099722654113
SEDOL:B44ZTP6,Aberdeen Latin American Income,2021-02,2021-07,6,-0.11394422310756969,1.1832344825843295,0.2536456112139747,0.26997713259237943,0,0.04108773322747116
SEDOL:294502,Asia Dragon,2020-09,2020-12,4,-0.12291798439806034,-0.43318631901860233,0.12163896202848265,0.24771720808853237,0,0.03802305987568523
SEDOL:295958,Standard Life UK Smaller Companies,2013-09,2015-12,28,-0.040462427745664775,-0.7029315513721979,0.17289821268187375,0.376144034833628,0,0.03631878994886594
SEDOL:422002,Polar Capital Technology,2012-06,2013-01,8,-0.049170695227157446,-0.06413205471272292,0.1347569736016249,0.16856538209843452,0,0.03146067415730336
SEDOL:871079,Schroder Asian Total Return,2020-02,2020-12,11,-0.025720966484801266,-1.5376824019138724,0.11461989539437091,0.18478835110829617,0,0.031103050665367293
SEDOL:B62Z3C7,Fidelity China Special Situations,2016-05,2016-10,6,-0.15826551682254342,-1.1448435600484315,0.09428238987829207,0.370851370851371,0,0.030342403054574807
SEDOL:BF50VS4,Ashoka India Equity,2026-05,2026-08,4,-0.038461538461538436,-1.7726330085757063,0.11011888440831143,0.15272155210555804,0,0.028936170212766045
SEDOL:871079,Schroder Asian Total Return,2021-02,2021-06,5,,,,0.18194636630219674,0,0.028331379445095676
SEDOL:332855,Fidelity Japan,2020-05,2020-05,1,-0.12923372567859726,-1.1531883549992021,0.12269325078248182,0.1965517241379311,0,0.02807881773399016
SEDOL:B44ZTP6,Aberdeen Latin American Income,2020-10,2020-12,3,-0.1727127941957175,-1.809897400441156,0.20968219999584278,0.1727242674680689,0,0.02727272727272723
SEDOL:346607,F&C Investment Trust,2024-03,2025-01,11,-0.09878491979002246,-0.9894991376402296,0.11443085937090502,0.29675867527179256,0,0.027228638778842698
SEDOL:332855,Fidelity Japan,2019-04,2019-05,2,-0.13300304878048774,-0.23883748103596553,0.15348550280535422,0.15976331360946738,0,0.025641025641025626
SEDOL:906692,TR European Growth,2016-09,2017-02,6,-0.1618691853935904,-1.7797913568494954,0.15239747073822474,0.2143864598025389,0,0.024973480577437326
SEDOL:580007,Merchants Trust,2025-04,2026-02,11,-0.053719083030270176,-2.534597888226072,0.13612236323591081,0.21070241926322764,0,0.024920372233892336
NAME:aberdeen new thai|ordinary share,Aberdeen New Thai,2014-09,2014-12,4,-0.15107618321506067,-0.4040713994422168,0.2280409168676729,0.1317631986507417,0,0.02452612636492332
SEDOL:422002,Polar Capital Technology,2013-03,2013-08,6,,,,0.12393129086224541,0,0.02359550561797752
NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,2013-03,2013-08,6,-0.08227670293858735,0.10769401590080009,0.11849867224497035,0.12195124032747895,0,0.023235969806366885
SEDOL:338530,Worldwide Healthcare,2014-08,2014-09,2,-0.06591077292290892,-0.33174940500434474,0.18478593021719658,0.15538461538461568,0,0.022780026990553336
SEDOL:B0N8MF9,BlackRock Energy and Resources Income,2023-06,2025-07,26,-0.09150113969391083,-0.7118971915434201,0.12088865023092062,0.1598832510957089,0,0.022724900787707343
SEDOL:914327,JPMorgan Global Growth & Income,2025-03,2026-08,18,-0.008678352142146517,-1.0289965820630103,0.19430912338014586,0.10133981016865401,0,0.021715868219334872
NAME:north american income|ordinary share,North American Income,2016-07,2016-11,5,-0.15035587188612098,-1.8189194017136097,0.11347218023355635,0.23874345549738218,0,0.021551623763602167
SEDOL:882929,Templeton Emerging Markets,2021-02,2021-06,5,-0.11532702771792713,-0.04590547691142402,0.21277672233477166,0.13340928811171238,0,0.021135265700483005
SEDOL:610841,Schroder UK Mid Cap,2015-07,2017-08,26,-0.10535842226328296,-0.20521009120543077,0.19968206341204803,0.10743193707432819,0,0.020936797440373238
SEDOL:882929,Templeton Emerging Markets,2020-07,2020-12,6,-0.1225987359090035,-0.48950880317540896,0.11229320480999522,0.15027233798777373,0,0.020925873813180645
SEDOL:BYSRMH1,CC Japan Income & Growth Trust,2025-03,2025-09,7,-0.0867692916893531,-0.669709957315471,0.11741130408352532,0.1382113821138209,0,0.019513426039026182
SEDOL:343501,JPMorgan China Growth & Income,2020-06,2020-06,1,-0.1247489501551945,-0.28834926466734034,0.13775906701899626,0.17340286831812257,0,0.019266985368680285
NAME:abrdn new dawn|ordinary share,Aberdeen New Dawn,2012-05,2013-01,9,-0.10705421653521585,-0.9739457292052478,0.10442087541041235,0.09705294385610652,0,0.019183887269102716
SEDOL:3142921,Law Debenture Corporation,2024-06,2024-09,4,-0.008791880240333949,-0.6642073519757421,0.10937831628497242,0.12964529651593382,0,0.01792254594241495
SEDOL:791887,Schroder AsiaPacific,2019-11,2020-01,3,-0.11498086721643574,-0.44416184499951045,0.11479710455257629,0.13766639157760086,0,0.016473988439306392
SEDOL:610841,Schroder UK Mid Cap,2015-04,2015-05,2,-0.13195138527965455,-0.5223826337156041,0.17582961323201707,0.14795624640184224,0,0.016452717781529576
SEDOL:802284,Schroder Japan Growth,2019-11,2020-01,3,-0.13318469308822867,-1.5424370821678524,0.11429844881190432,0.12282126926458559,0,0.014763779527559029
SEDOL:332855,Fidelity Japanese Values,2016-04,2016-08,5,-0.15991012992087528,-1.7877840959496862,0.0980846937089342,0.15988372093023262,0,0.014457603870641596
SEDOL:791887,Schroder AsiaPacific,2020-08,2020-09,2,-0.1363738993000677,-2.162604918050171,0.13564822703032958,0.11111111111111116,0,0.014372118913730225
SEDOL:337582,Fidelity European Trust,2023-11,2024-03,5,-0.08909516786674765,-1.1529057968389382,0.07164604421369788,0.24603174603174582,0,0.01417816696816314
NAME:north american income|ordinary share,North American Income,2018-11,2018-11,1,-0.09048130745945793,-0.30814734846205644,0.1242432634398413,0.084942084942085,0,0.014157014157014168
SEDOL:2894108,Hansa Investment Company,2025-06,2025-06,1,-0.4153830511921103,-0.20076889896226632,0.12912250240026005,0.11304347826086958,0,0.014130434782608697
SEDOL:643610,BlackRock Smaller Companies,2015-01,2015-01,1,-0.1443576562743396,-0.5765420942121885,0.19546264583334466,0.07022106631989589,0,0.014044213263979179
SEDOL:B0CRWN5,Schroder Oriental Income,2019-04,2019-05,2,-0.014680070209031504,-1.322121634135193,0.11667063572915212,0.08261076234653886,0,0.013495276653171372
SEDOL:455934,International Biotechnology,2016-07,2016-07,1,-0.1279236003888603,-0.13077148475313327,0.24017820526850375,0.1584699453551912,0,0.013205828779599266
SEDOL:741600,JPMorgan UK Smaller Companies,2023-11,2023-12,2,-0.158855187653705,-1.254515027983477,0.07536509911813866,0.24576271186440657,0,0.013142062362530724
SEDOL:BFFK7H5,Odyssean Investment Trust,2024-04,2024-06,3,0.00692870556239078,-0.0619951368254154,0.09903635256594549,0.12218649517684899,0,0.01299635863903408
SEDOL:802284,Schroder Japan Trust,2025-08,2025-08,1,-0.12575655682582376,-0.7321459023443518,0.12975034193011595,0.07692307692307687,0,0.012820512820512813
NAME:biotech growth|ordinary share,Biotech Growth,2015-03,2016-07,17,-0.03423600938541105,-0.3029445513726762,0.3518989312513116,0.1180319734672668,0,0.01276137045105213
SEDOL:346607,F&C Investment Trust,2025-07,2025-07,1,-0.08791570628910106,-0.43918175126671155,0.11764939352431535,0.06317689530685922,0,0.012635379061371844
SEDOL:914327,JPMorgan Global Growth & Income,2020-05,2020-05,1,0.006834472412068804,-0.474462156362523,0.08050614162143836,0.08609271523178808,0,0.01229895931882687
SEDOL:339072,Allianz Technology Trust,2024-06,2024-06,1,-0.10863796790066216,-0.42055266883575776,0.19279724886641875,0.14595375722543347,0,0.012162813102119455
SEDOL:B0N8MF9,BlackRock Energy and Resources Income,2025-09,2025-09,1,-0.09251230803144983,-0.16879181073183647,0.18344946690019417,0.09716599190283404,0,0.012145748987854255
SEDOL:B44ZTP6,abrdn Latin American Income,2022-02,2022-04,3,-0.14553664466828753,-0.6512277924187657,0.10956044915522475,0.17886178861788604,0,0.01203792437939127
