ticker,name,sector,is_vct,nav_route,currency,price_days,price_first,price_last,nav_first,nav_last,discount_days,fresh_days,median_nav_age,median_discount,last_discount,price_ccy,price_unit_status,nav_history_source,nav_frequency,median_gap_days,nav_obs
EGL,Ecofin Global Utilities and Infrastructure,Infrastructure Securities,False,registry,GBX,2525,2016-09-26,2026-09-23,2016-09-30,2026-09-21,2521,2443,1.0,-0.09189151502475079,-0.024216805593963553,GBp,ok,committed+s3_archive+s3_snapshot,daily,1.0,2368.0
EJFI,EJF Investments,Debt - Structured Finance,False,announcements_only,GBP,2279,2017-09-15,2026-09-23,2017-08-31,2026-08-31,2279,1979,39.0,-0.24848484848484853,-0.19767441860465118,GBp,ok,committed+s3_archive+s3_snapshot,monthly,30.0,99.0
EJFZ,EJF Investments,Debt - Structured Finance,False,announcements_only,GBP,345,2025-05-14,2026-09-22,2025-04-30,2026-08-31,339,339,36.0,-0.33939393939393936,-0.311046511627907,GBp,ok,s3_archive+s3_snapshot,monthly,29.0,18.0
ELTA,Electra Private Equity,Private Equity,False,announcements_only,GBX,0,,,,,0,0,,,,,,,,,
ELTZ,Electra Private Equity,Split Capital Trust,False,announcements_only,,0,,,,,0,0,,,,,,,,,
ELX,El Oro,Sector Specialist: Commodities & Natural Resources,False,announcements_only,,0,,,,,0,0,,,,,,,,,
ENRG,VH Global Energy Infrastructure,Renewable Energy Infrastructure,False,announcements_only,,1424,2021-02-02,2026-09-23,2021-09-30,2026-06-30,1235,1210,100.0,-0.2705649308808613,-0.2978551039469961,GBp,ok,committed+s3_archive+s3_snapshot,quarterly,91.0,19.0
EOT,European Opportunities Trust,Europe,False,registry,GBX,4953,2007-01-02,2026-08-07,2007-01-04,2026-07-31,4951,4628,0.0,-0.057587856551922556,-0.9898244402979516,GBp,ok,committed,daily,1.0,3698.0
ESCT,The European Smaller Companies Trust,European Smaller Companies,False,registry,GBX,4985,2007-01-02,2026-09-23,2021-12-10,2026-09-21,1205,1205,1.0,-0.11361141602634461,-0.0771028037383178,GBp,ok,committed+s3_snapshot,daily,1.0,1205.0
ET.,Establishment Investment Trust,Flexible Investment,False,registry,GBX,0,,,,,0,0,,,,,,,,,
