ticker,obs,median_abs_change,p99_abs_change,big_moves,jump_reversals,cum_assumed_share,median_abs_change_all,reliable,suspect_rate
JAGI,2898,0.00697575614177115,0.20120978003203938,23,0,0.01932367149758454,0.006982602898598644,True,0.0
HFEL,4542,0.005387269333425759,0.03416237728862587,4,0,0.10722148833113165,0.005396897057252992,True,0.0
GV1O,1,0.0,0.0,0,0,1.0,0.09811949629717281,True,0.0
HANA,20,0.0025224209857925284,0.006070809635041074,0,0,0.0,0.0025224209857925284,True,0.0
HGT,1,156.18987341772151,156.18987341772151,1,0,1.0,0.05389980976537734,True,0.0
HGEN,323,0.0011543708678769526,0.006933606321562638,0,0,0.0030959752321981426,0.001219016659894434,True,0.0
HHV,4,0.0,0.003960427135678321,0,0,0.25,0.0,True,0.0
GSF,1,0.0,0.0,0,0,0.0,0.024299065420560706,True,0.0
GV2O,1,0.0,0.0,0,0,1.0,0.0988903693715617,True,0.0
HVPE,1,0.0,0.0,0,0,0.0,0.014003105660980564,True,0.0
IGET,717,0.0042670682730923115,0.026717396443816065,0,0,0.0,0.0042608316178259775,True,0.0
INOV,1837,0.004010025062656686,0.05010043642955543,6,0,0.12302667392487751,0.00406353897303291,True,0.0
INV,33,0.002515723270440251,0.01891060197663973,0,0,0.6363636363636364,0.0042194092827005925,True,0.0
IVPB,113,0.00266379146318263,0.011074176111577225,0,0,0.0,0.00266379146318263,True,0.0
IVPM,113,0.0003544214070529961,0.015816959469327166,0,0,0.0,0.0003545156430027063,True,0.0
IVPU,113,0.0038206963353601964,0.018921336369453083,0,0,0.0,0.003787679520227294,True,0.0
JCGI,2905,0.00993850208653635,0.20008217770929723,23,0,0.021686746987951807,0.009971748912218914,True,0.0
JAM,2898,0.006382624470563758,0.17803517946319847,22,0,0.018978605935127676,0.006415001233654127,True,0.0
JCH,2898,0.005223957654418798,0.2019076808560564,23,0,0.01932367149758454,0.005234367157911479,True,0.0
OSEC,13,0.0,0.02973691086322981,0,0,0.7692307692307693,0.004757557313856742,True,0.0
SDV,1225,0.0047074330367650186,0.05084197131227972,1,0,0.0,0.005252802957157576,True,0.0
SBO,1455,0.0019070105339629162,0.02359283558880463,0,0,0.002061855670103093,0.0019070105339629162,True,0.0
PSH,1,0.0,0.0,0,0,0.0,0.03853096794769101,True,0.0
RIII,713,0.004892492554528394,0.03522429497641955,0,0,0.0070126227208976155,0.0043026129723660045,True,0.0
PCGH,4074,0.005187973314859373,0.030100977784896607,0,0,0.013745704467353952,0.005169601159616344,True,0.0
ONWD,13,0.0008295313148071193,0.055707698054664995,0,0,0.6153846153846154,0.01945986403043709,True,0.0
MVCT,1,0.0,0.0,0,0,1.0,0.9941860465116279,True,0.0
NAS,1,0.0,0.0,0,0,0.0,0.01760167577231475,True,0.0
NBDD,116,0.28372938272152004,16.10250352057575,67,0,1.0,0.3651061292676957,False,0.0
NAVF,1202,0.00566414041921004,0.030797654208241498,0,0,0.0008319467554076539,0.005688721703341115,True,0.0
OFG,2,0.0,0.0,0,0,0.0,0.0022522522522522292,True,0.0
