ticker,symbol,mode,status,rows,first,last,price_ccy
HHI,HHI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HHV,HHV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HHVT,HHVT.L,full,ok,320,2007-05-07,2018-03-23,
HICL,HICL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HINC,HINC.L,full,no_history,0,,,
HINT,HINT.L,full,no_history,0,,,
HNE,HNE.L,full,no_history,0,,,
HOME,HOME.L,tail,ok,25,2026-07-28,2026-09-01,GBp
HOT,HOT.L,full,no_history,0,,,
HRI,HRI.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HSL,HSL.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HTCF,HTCF.L,full,no_history,0,,,
HVPE,HVPE.L,tail,ok,21,2026-08-03,2026-09-01,GBp
HWSC,HWSC.L,full,ok,976,2022-10-20,2026-09-01,USD
HWSL,HWSL.L,full,no_history,0,,,
HYG,HYG.L,tail,ok,25,2026-07-28,2026-09-01,GBp
IAD,IAD.L,tail,ok,21,2026-08-03,2026-09-01,GBp
IBT,IBT.L,tail,ok,21,2026-08-03,2026-09-01,GBp
ICGT,ICGT.L,tail,ok,25,2026-07-28,2026-09-01,GBp
IE1D,IE1D.L,full,no_history,0,,,
IEM,IEM.L,tail,ok,21,2026-08-03,2026-09-01,GBp
IEVD,IEVD.L,full,no_history,0,,,
IGC,IGC.L,tail,ok,21,2026-08-03,2026-09-01,GBp
IGET,IGET.L,tail,ok,21,2026-08-03,2026-09-01,GBp
IGV,IGV.L,full,ok,5221,2006-01-03,2026-09-01,GBp
IIT,IIT.L,full,no_history,0,,,
INOV,INOV.L,tail,ok,25,2026-07-28,2026-09-01,GBp
INPP,INPP.L,tail,ok,25,2026-07-28,2026-09-01,GBp
INV,INV.L,tail,ok,21,2026-08-03,2026-09-01,GBp
IPE,IPE.L,full,no_history,0,,,
IVI,IVI.L,full,no_history,0,,,
IVPB,IVPB.L,full,no_history,0,,,
